,date,is_trading_day,start_time,end_time,opening_auction_start_time,closing_auction_end_time,evening_opening_auction_start_time,evening_start_time,evening_end_time,clearing_start_time,clearing_end_time,premarket_start_time,premarket_end_time,closing_auction_start_time,opening_auction_end_time,intervals
0,2025-07-15 00:00:00+00:00,True,2025-07-15 07:00:00+00:00,2025-07-15 15:39:59+00:00,2025-07-15 06:50:00+00:00,2025-07-15 15:50:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,2025-07-15 15:40:01+00:00,2025-07-15 06:59:59+00:00,"[TradingInterval(type='regular_trading_session', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 15, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 15, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='regular_trading_session_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 15, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 15, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 15, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 15, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 15, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 15, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 15, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 15, 15, 50, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 15, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 15, 15, 50, tzinfo=datetime.timezone.utc)))]"
1,2025-07-16 00:00:00+00:00,True,2025-07-16 07:00:00+00:00,2025-07-16 15:39:59+00:00,2025-07-16 06:50:00+00:00,2025-07-16 15:50:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,2025-07-16 15:40:01+00:00,2025-07-16 06:59:59+00:00,"[TradingInterval(type='regular_trading_session', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 16, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 16, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='regular_trading_session_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 16, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 16, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 16, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 16, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 16, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 16, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 16, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 16, 15, 50, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 16, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 16, 15, 50, tzinfo=datetime.timezone.utc)))]"
2,2025-07-17 00:00:00+00:00,True,2025-07-17 07:00:00+00:00,2025-07-17 15:39:59+00:00,2025-07-17 06:50:00+00:00,2025-07-17 15:50:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,2025-07-17 15:40:01+00:00,2025-07-17 06:59:59+00:00,"[TradingInterval(type='regular_trading_session', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 17, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 17, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='regular_trading_session_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 17, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 17, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 17, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 17, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 17, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 17, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 17, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 17, 15, 50, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 17, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 17, 15, 50, tzinfo=datetime.timezone.utc)))]"
3,2025-07-18 00:00:00+00:00,True,2025-07-18 07:00:00+00:00,2025-07-18 15:39:59+00:00,2025-07-18 06:50:00+00:00,2025-07-18 15:50:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,2025-07-18 15:40:01+00:00,2025-07-18 06:59:59+00:00,"[TradingInterval(type='regular_trading_session', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 18, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 18, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='regular_trading_session_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 18, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 18, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 18, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 18, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 18, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 18, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 18, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 18, 15, 50, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 18, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 18, 15, 50, tzinfo=datetime.timezone.utc)))]"
4,2025-07-19 00:00:00+00:00,False,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,[]
5,2025-07-20 00:00:00+00:00,False,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,[]
6,2025-07-21 00:00:00+00:00,True,2025-07-21 07:00:00+00:00,2025-07-21 15:39:59+00:00,2025-07-21 06:50:00+00:00,2025-07-21 15:50:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,2025-07-21 15:40:01+00:00,2025-07-21 06:59:59+00:00,"[TradingInterval(type='regular_trading_session', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 21, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 21, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='regular_trading_session_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 21, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 21, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 21, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 21, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 21, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 21, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 21, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 21, 15, 50, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 21, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 21, 15, 50, tzinfo=datetime.timezone.utc)))]"
7,2025-07-22 00:00:00+00:00,True,2025-07-22 07:00:00+00:00,2025-07-22 15:39:59+00:00,2025-07-22 06:50:00+00:00,2025-07-22 15:50:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,2025-07-22 15:40:01+00:00,2025-07-22 06:59:59+00:00,"[TradingInterval(type='regular_trading_session', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 22, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 22, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='regular_trading_session_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 22, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 22, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 22, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 22, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 22, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 22, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 22, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 22, 15, 50, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 22, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 22, 15, 50, tzinfo=datetime.timezone.utc)))]"
8,2025-07-23 00:00:00+00:00,True,2025-07-23 07:00:00+00:00,2025-07-23 15:39:59+00:00,2025-07-23 06:50:00+00:00,2025-07-23 15:50:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,2025-07-23 15:40:01+00:00,2025-07-23 06:59:59+00:00,"[TradingInterval(type='regular_trading_session', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 23, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 23, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='regular_trading_session_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 23, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 23, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 23, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 23, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 23, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 23, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 23, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 23, 15, 50, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 23, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 23, 15, 50, tzinfo=datetime.timezone.utc)))]"
9,2025-07-24 00:00:00+00:00,True,2025-07-24 07:00:00+00:00,2025-07-24 15:39:59+00:00,2025-07-24 06:50:00+00:00,2025-07-24 15:50:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,2025-07-24 15:40:01+00:00,2025-07-24 06:59:59+00:00,"[TradingInterval(type='regular_trading_session', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 24, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 24, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='regular_trading_session_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 24, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 24, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 24, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 24, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 24, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 24, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 24, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 24, 15, 50, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 24, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 24, 15, 50, tzinfo=datetime.timezone.utc)))]"
10,2025-07-25 00:00:00+00:00,True,2025-07-25 07:00:00+00:00,2025-07-25 15:39:59+00:00,2025-07-25 06:50:00+00:00,2025-07-25 15:50:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,2025-07-25 15:40:01+00:00,2025-07-25 06:59:59+00:00,"[TradingInterval(type='regular_trading_session', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 25, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 25, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='regular_trading_session_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 25, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 25, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 25, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 25, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 25, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 25, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 25, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 25, 15, 50, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 25, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 25, 15, 50, tzinfo=datetime.timezone.utc)))]"
11,2025-07-26 00:00:00+00:00,False,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,[]
12,2025-07-27 00:00:00+00:00,False,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,[]
13,2025-07-28 00:00:00+00:00,True,2025-07-28 07:00:00+00:00,2025-07-28 15:39:59+00:00,2025-07-28 06:50:00+00:00,2025-07-28 15:50:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,2025-07-28 15:40:01+00:00,2025-07-28 06:59:59+00:00,"[TradingInterval(type='regular_trading_session', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 28, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 28, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='regular_trading_session_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 28, 7, 0, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 28, 15, 39, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 28, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 28, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='opening_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 28, 6, 50, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 28, 6, 59, 59, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 28, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 28, 15, 50, tzinfo=datetime.timezone.utc))), TradingInterval(type='closing_auction_main', interval=TimeInterval(start_ts=datetime.datetime(2025, 7, 28, 15, 40, 1, tzinfo=datetime.timezone.utc), end_ts=datetime.datetime(2025, 7, 28, 15, 50, tzinfo=datetime.timezone.utc)))]"
